Area,Item,Year Code,Year,Unit,Value,Flag
Ethiopia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,71.3,E
Fiji,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,75,E
Finland,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,117.7,E
France,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,108.7,E
French Polynesia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,95.3,E
Gabon,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,79.6,E
Gambia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,63.3,E
Georgia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,76.7,E
Germany,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,104.3,E
Ghana,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,61,E
Greece,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,107,E
Greenland,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Grenada,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Guatemala,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,69,E
Guinea,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Guinea-Bissau,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,43,E
Guyana,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,85.7,E
Haiti,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,48.3,E
Honduras,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,61.7,E
Hungary,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,88.7,E
Iceland,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,144,E
India,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,64.3,E
Indonesia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,68.7,E
Iran (Islamic Republic of),Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,83,E
Iraq,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,64.7,E
Ireland,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,114.3,E
Israel,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,126.3,E
Italy,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,104.3,E
Jamaica,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,75.3,E
Japan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,87,E
Jordan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,66.3,E
Kazakhstan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,102.4,E
Kenya,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,60.7,E
Kiribati,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,70.3,E
Kuwait,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,100.3,E
Kyrgyzstan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,84,E
Lao People's Democratic Republic,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,75.3,E
Latvia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,97.4,E
Lebanon,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,70,E
Lesotho,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,62.7,E
Liberia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,41.7,E
Libya,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Lithuania,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,122.1,E
Luxembourg,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,108.3,E
Madagascar,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,42.3,E
Malawi,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,70,E
Malaysia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,76.7,E
Maldives,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
